Feb 12 07:56

ALAN-20160212-0
ALAN-20160212-0_ON, , ,0.000,00:00:00,00:00:00,Feb 12 08:17,Feb 12 08:17,DESPATCHED,51.619,-0.771306,
ALAN-85331,HP12 4AA, ,3.938,00:45:00,00:12:53,Feb 12 08:30,Feb 12 09:15,DESPATCHED,51.6297,-0.793528,
1111111 A/1-01,HP12 3AA,MEMGRF,2.430,01:15:00,00:09:12,Feb 12 09:24,Feb 12 10:39,DESPATCHED,51.6227,-0.776337,
1111111 A/1-02,RG45 6AA,MEMGSF,44.648,00:45:00,00:54:46,Feb 12 11:33,Feb 12 12:18,DESPATCHED,51.3738,-0.801663,
ALAN-20160212-0-0, , ,25.076,00:00:00,00:37:06,Feb 12 12:56,Feb 12 13:26,ALLOCATED,0,0,
1111111 A/2-01,RG1 8AA,MEMGRF,0.000,01:30:00,00:00:00,Feb 12 13:26,Feb 12 14:56,DESPATCHED,51.46,-0.976477,
1111111 A/1-02,RG4 9AA,MEMGIB,7.536,00:45:00,00:20:10,Feb 12 15:16,Feb 12 16:01,DESPATCHED,51.5194,-0.976589,
ALAN-20160212-0_OF, , ,32.220,00:00:00,00:52:48,Feb 12 16:54,Feb 12 16:54,DESPATCHED,51.619,-0.771306,


CHRIS-20160212-0
CHRIS-20160212-0_ON, , ,0.000,00:00:00,00:00:00,Feb 12 08:18,Feb 12 08:18,DESPATCHED,52.479,-1.99988,
CHRIS-85332,B66 1AA, ,9.358,00:45:00,00:11:48,Feb 12 08:30,Feb 12 09:15,DESPATCHED,52.505,-1.99697,
1111111 A/1-01,DY2 0AA,MEMGIF,9.460,00:45:00,00:17:54,Feb 12 09:32,Feb 12 10:17,DESPATCHED,52.4787,-2.0913,
1111111 A/1-01,DY8 1AA,MEMGSF,6.786,00:45:00,00:14:39,Feb 12 10:32,Feb 12 11:17,DESPATCHED,52.4571,-2.1516,
1111111 A/2-01,DY8 3AA,MEMGIF,1.633,00:45:00,00:03:49,Feb 12 11:21,Feb 12 12:06,DESPATCHED,52.4589,-2.17074,
1111111 A/1-01,DY10 2AA,MEMGRF,11.812,00:55:00,00:17:17,Feb 12 12:23,Feb 12 13:18,DESPATCHED,52.3931,-2.2278,
CHRIS-20160212-0-0, , ,24.556,00:00:00,00:36:55,Feb 12 13:55,Feb 12 14:25,ALLOCATED,0,0,
2708195 A/2-01,B30 2AA,HCMREP,0.000,01:30:00,00:00:00,Feb 12 14:25,Feb 12 15:55,DESPATCHED,52.4185,-1.93088,
CHRIS-20160212-0_OF, , ,9.764,00:00:00,00:21:30,Feb 12 16:17,Feb 12 16:17,DESPATCHED,52.479,-1.99988,


DARREN-20160212-0
DARREN-20160212-0_ON, , ,0.000,00:00:00,00:00:00,Feb 12 08:11,Feb 12 08:11,DESPATCHED,52.4571,-1.77224,
DARREN-85333,B8 2AA, ,8.130,00:45:00,00:18:53,Feb 12 08:30,Feb 12 09:15,DESPATCHED,52.5041,-1.82854,
1111111 A/1-01,B6 6AA,MEMGSF,4.622,00:45:00,00:09:43,Feb 12 09:24,Feb 12 10:09,DESPATCHED,52.5084,-1.88064,
1111111 A/1-01,B73 6AA,MEMGIR,8.768,00:55:00,00:18:09,Feb 12 10:27,Feb 12 11:22,DESPATCHED,52.5596,-1.83035,
1111111 A/1-01,B24 9AA,MEMGRF,7.188,01:15:00,00:13:55,Feb 12 11:36,Feb 12 12:51,DESPATCHED,52.5191,-1.81871,
DARREN-20160212-0-0, , ,5.778,00:00:00,00:11:29,Feb 12 13:03,Feb 12 13:33,ALLOCATED,0,0,
1111111 A/1-01,B34 7AA,INSTIN,0.000,02:00:00,00:00:00,Feb 12 13:33,Feb 12 15:33,DESPATCHED,52.4992,-1.77607,
1111111 A/1-01,B36 0AA,MEMGSF,1.701,00:45:00,00:04:07,Feb 12 15:37,Feb 12 16:22,DESPATCHED,52.5001,-1.75691,
DARREN-20160212-0_OF, , ,7.206,00:00:00,00:16:47,Feb 12 16:39,Feb 12 16:39,DESPATCHED,52.4571,-1.77224,


DAVID-20160212-0
DAVID-20160212-0_ON, , ,0.000,00:00:00,00:00:00,Feb 12 08:17,Feb 12 08:17,DESPATCHED,52.3237,-1.89345,
DAVID-85334,B98 0AA, ,7.626,00:45:00,00:12:57,Feb 12 08:30,Feb 12 09:15,DESPATCHED,52.2842,-1.90719,
1111111 A/1-01,B97 5AA,MEMGSF,2.947,00:45:00,00:05:26,Feb 12 09:20,Feb 12 10:05,DESPATCHED,52.2746,-1.9399,
1111111 A/1-03,B60 1AA,MEMGSF,15.952,00:45:00,00:17:45,Feb 12 10:23,Feb 12 11:08,DESPATCHED,52.3673,-2.03232,
1111111 A/1-01,B38 8AA,REATND,8.686,00:55:00,00:17:35,Feb 12 11:25,Feb 12 12:20,DESPATCHED,52.3987,-1.93826,
1111111 A/1-01,B14 7AA,MEMGSF,6.166,00:45:00,00:14:07,Feb 12 12:34,Feb 12 13:19,DESPATCHED,52.432,-1.8882,
DAVID-20160212-0-0, , ,38.096,00:00:00,00:35:54,Feb 12 13:55,Feb 12 14:25,ALLOCATED,0,0,
1111111 A/1-01,CV35 7AA,MEMGRF,0.000,00:55:00,00:00:00,Feb 12 14:25,Feb 12 15:20,DESPATCHED,52.3002,-1.64508,
DAVID-20160212-0_OF, , ,21.464,00:00:00,00:32:47,Feb 12 15:53,Feb 12 15:53,DESPATCHED,52.3237,-1.89345,


